,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7L7D,N,,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE RBD IN COMPLEX WITH HUMAN MONOCLONAL ANTIBODY AZD8895,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE PROTEIN, RECEPTOR BINDING DOMAIN, HUMAN MONOCLONAL ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",GENETIC AND STRUCTURAL BASIS FOR SARS-COV-2 VARIANT NEUTRALIZATION BY A TWO-ANTIBODY COCKTAIL.,,,H,L,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,09/01/21,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE RBD IN COMPLEX WITH HUMAN MONOCLONAL ANTIBODY AZD8895,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DONG, J., CROWE, J.E.",X-RAY DIFFRACTION,NONE
7VNC,N,,"STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A HUMAN SINGLE DOMAIN ANTIBODY N3113 (UDD-STATE, STATE 1)",VIRAL PROTEIN,"SARS-COV-2, NANOBODY, ANTIVIRAL PROTEIN, VIRAL PROTEIN",A NON-ACE2 COMPETING HUMAN SINGLE-DOMAIN ANTIBODY CONFERS BROAD NEUTRALIZATION AGAINST SARS-COV-2 AND CIRCULATING VARIANTS.,,,V,,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,11/24/21,"STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH A HUMAN SINGLE DOMAIN ANTIBODY N3113 (UDD-STATE, STATE 1)",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YANG, Z., WANG, Y., KONG, Y., JIN, Y., WU, Y., YING, T.",ELECTRON MICROSCOPY,NONE
7RBU,N,,SARS-COV-2 SPIKE IN COMPLEX WITH PVI.V6-14 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"VIRUS, NEUTRALIZING ANTIBODY, VACCINE, PLASMABLAST, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX","STRUCTURE OF A VACCINE-INDUCED, GERMLINE-ENCODED HUMAN ANTIBODY DEFINES A NEUTRALIZING EPITOPE ON THE SARS-COV-2 SPIKE N-TERMINAL DOMAIN.",,,H,L,B,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,05/04/22,SARS-COV-2 SPIKE IN COMPLEX WITH PVI.V6-14 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ALTOMARE, C.G., BAJIC, G.",ELECTRON MICROSCOPY,NONE
7VGS,N,,SARS-COV-2 M PROTEIN DIMER (SHORT FORM) IN COMPLEX WITH YN7717_9 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, M PROTEIN, VIRAL STRUCTURAL PROTEIN, VIRUS ASSEMBLY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",SARS-COV-2 M PROTEIN DIMER (SHORT FORM) IN COMPLEX WITH YN7717_9 FAB,,,D,C,A,PROTEIN,MEMBRANE PROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/03/22,SARS-COV-2 M PROTEIN DIMER (SHORT FORM) IN COMPLEX WITH YN7717_9 FAB,MUS MUSCULUS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHANG, Z., OHTO, U., SHIMIZU, T.",ELECTRON MICROSCOPY,NONE
7WRZ,N,,LOCAL RESOLUTION OF BD55-5840 FAB AND SARS-COV2 OMICRON RBD,VIRAL PROTEIN,"SARS-COV2 OMICRON RBD, VIRAL PROTEIN","BA.2.12.1, BA.4 AND BA.5 ESCAPE ANTIBODIES ELICITED BY OMICRON INFECTION.",,,H,L,R,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,06/22/22,LOCAL RESOLUTION OF BD55-5840 FAB AND SARS-COV2 OMICRON RBD,SARS CORONAVIRUS B012,SARS CORONAVIRUS B012,SARS CORONAVIRUS B012,SARS CORONAVIRUS B012,"ZHANG, Z.Z., XIAO, J.J.",ELECTRON MICROSCOPY,NONE
7Q0H,N,,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-50 AND BETA-54,VIRAL PROTEIN,"SARS-COV-2 ALPHA VARIANT, BETA VARIANT, GAMMA VARIANT, DELTA VARIANT, B.1.1.7, B.1.351, P.1, B.1.617.2, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN",THE ANTIBODY RESPONSE TO SARS-COV-2 BETA UNDERSCORES THE ANTIGENIC DISTANCE TO OTHER VARIANTS.,,,A,B,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,12/22/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-50 AND BETA-54,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
7CDJ,N,,CRYSTAL STRUCTURE OF SARS-COV-2 ANTIBODY P2C-1A3 WITH RBD,VIRAL PROTEIN,"SPIKE, RECEPTOR BINDING DOMAIN, ANTIBODY, VIRAL PROTEIN",ANTIBODY NEUTRALIZATION OF SARS-COV-2 THROUGH ACE2 RECEPTOR MIMICRY.,,,H,L,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,06/19/20,CRYSTAL STRUCTURE OF SARS-COV-2 ANTIBODY P2C-1A3 WITH RBD,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, X., ZHANG, L., GE, J., WANG, R.",X-RAY DIFFRACTION,NONE
7B0B,N,,FAB HBNC3T1P1_C6 BOUND TO SARS-COV-2 RBD,ANTIVIRAL PROTEIN,"SARS-COV-2, NEUTRALIZING MONOCLONAL ANTIBODY, RECEPTOR-BINDING MOTIF, RECEPTOR-BINDING DOMAIN, ANTIVIRAL PROTEIN",FAB HBNC3T1P1_C6 BOUND TO SARS-COV-2 RBD,,,H,L,F,PROTEIN,SURFACE GLYCOPROTEIN,ANTIVIRAL PROTEIN,12/01/21,FAB HBNC3T1P1_C6 BOUND TO SARS-COV-2 RBD,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BORENSTEIN-KATZ, A., DISKIN, R.",X-RAY DIFFRACTION,NONE
7S0C,N,,STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY N-612-017,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, COVID-19, SPIKE GLYCOPROTEIN, MRNA DISPLAY, ANTIVIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",RAPID IDENTIFICATION OF NEUTRALIZING ANTIBODIES AGAINST SARS-COV-2 VARIANTS BY MRNA DISPLAY.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,10/06/21,STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY N-612-017,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BARNES, C.O., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
7TTM,N,,CRYSTAL STRUCTURE OF POTENT NEUTRALIZING ANTIBODY 10-40 IN COMPLEX WITH SARBECOVIRUS BAT SHC014 RECEPTOR-BINDING DOMAIN,VIRAL PROTEIN/IMMUNE SYSTEM,"COVID-19, SARBECOVIRUS, SCH014 RBD, VIRAL PROTEIN, SPIKE GLYCOPROTEIN, RECEPTOR BINDING PROTEIN, NEUTRALIZING ANTIBODY, POTENT, 10-40, FAB, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",AN ANTIBODY CLASS WITH A COMMON CDRH3 MOTIF BROADLY NEUTRALIZES SARBECOVIRUSES.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/27/22,CRYSTAL STRUCTURE OF POTENT NEUTRALIZING ANTIBODY 10-40 IN COMPLEX WITH SARBECOVIRUS BAT SHC014 RECEPTOR-BINDING DOMAIN,BAT SARS-LIKE CORONAVIRUS RSSHC014; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,BAT SARS-LIKE CORONAVIRUS RSSHC014,"REDDEM, E.R., SHAPIRO, L.",X-RAY DIFFRACTION,NONE
7R98,N,,STRUCTURE OF THE SARS-COV-2 N PROTEIN RNA-BINDING DOMAIN BOUND TO SINGLE-DOMAIN ANTIBODY B6,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, NANOBODY, NUCLEOCAPSID, VIRUS, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX, RNA BINDING PROTEIN",STRUCTURAL BASIS FOR SARS-COV-2 NUCLEOCAPSID PROTEIN RECOGNITION BY SINGLE-DOMAIN ANTIBODIES.,,,E,,B,PROTEIN,NUCLEOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,07/07/21,STRUCTURE OF THE SARS-COV-2 N PROTEIN RNA-BINDING DOMAIN BOUND TO SINGLE-DOMAIN ANTIBODY B6,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA,LAMA GLAMA,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CORBETT, K.D., YE, Q.",X-RAY DIFFRACTION,NONE
5W9N,N,"MERS S, G4 VH, G4 VL",MERS S ECTODOMAIN TRIMER IN COMPLEX WITH VARIABLE DOMAIN OF NEUTRALIZING ANTIBODY G4,VIRAL PROTEIN,"IMMUNOGEN, PEPLOMER, VIRAL SPIKE, MERS, MERS S PROTEIN, ANTIBODY, G4, VIRAL PROTEIN",IMMUNOGENICITY AND STRUCTURES OF A RATIONALLY DESIGNED PREFUSION MERS-COV SPIKE ANTIGEN.,,,E,F,D,PROTEIN,MERS S,VIRAL PROTEIN,06/23/17,MERS S ECTODOMAIN TRIMER IN COMPLEX WITH VARIABLE DOMAIN OF NEUTRALIZING ANTIBODY G4,MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,MIDDLE EAST RESPIRATORY SYNDROME-RELATEDCORONAVIRUS ,"PALLESEN, J., WARD, A.B.",ELECTRON MICROSCOPY,NONE
7RW2,N,,CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY 5-7 IN COMPLEX WITH PREFUSION SARS-COV-2 SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,"NEUTRALIZING ANTIBODY, FUSION PROTEIN, SPIKE GLYCOPROTEIN, COVID-19, N-TERMINAL DOMAIN, NTD, 5-7, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",NEUTRALIZING ANTIBODY 5-7 DEFINES A DISTINCT SITE OF VULNERABILITY IN SARS-COV-2 SPIKE N-TERMINAL DOMAIN.,,,G,J,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,09/01/21,CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY 5-7 IN COMPLEX WITH PREFUSION SARS-COV-2 SPIKE GLYCOPROTEIN,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CERUTTI, G., SHAPIRO, L.",ELECTRON MICROSCOPY,NONE
7U0D,N,,LOCAL REFINEMENT OF CRYO-EM STRUCTURE OF THE INTERFACE OF THE OMICRON RBD IN COMPLEX WITH ANTIBODIES B-182.1 AND A19-46.1,VRAL PROTEIN/IMMUNE SYSTEM,"ANTIBODY, SARS-COV-2, OMICRON, B.1.1.529, RECEPTOR BINDING DOMAIN, IMMUNE SYSTEM, VRAL PROTEIN-IMMUNE SYSTEM COMPLEX",OMICRON RBD IN COMPLEX WITH ANTIBODIES,,,O,P,B,PROTEIN,SURFACE GLYCOPROTEIN,VRAL PROTEIN/IMMUNE SYSTEM,03/30/22,LOCAL REFINEMENT OF CRYO-EM STRUCTURE OF THE INTERFACE OF THE OMICRON RBD IN COMPLEX WITH ANTIBODIES B-182.1 AND A19-46.1,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, T., KWONG, P.D.",ELECTRON MICROSCOPY,NONE
7LQV,N,"SARS-COV-2 SPIKE GLYCOPROTEIN, NEUTRALIZING ANTIBODY 4-8 FAB",CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY 4-8 FAB IN COMPLEX WITH SARS-COV-2 S2P SPIKE,VIRAL PROTEIN/IMMUNE SYSTEM,"COVID, COVID19, SARS-COV2, PREFUSION, NEUTRALIZING, NTD, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",POTENT SARS-COV-2 NEUTRALIZING ANTIBODIES DIRECTED AGAINST SPIKE N-TERMINAL DOMAIN TARGET A SINGLE SUPERSITE,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/24/21,CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY 4-8 FAB IN COMPLEX WITH SARS-COV-2 S2P SPIKE,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"GORMAN, J., RAPP, M., KWONG, P.D., SHAPIRO, L.",ELECTRON MICROSCOPY,NONE
7ND7,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-316 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/03/21,EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-316 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DUYVESTEYN, H.M.E., ZHAO, Y., REN, J., STUART, D.",ELECTRON MICROSCOPY,NONE
7E3L,N,,ULTRAPOTENT SARS-COV-2 NEUTRALIZING ANTIBODIES WITH PROTECTIVE EFFICACY AGAINST NEWLY EMERGED MUTATIONAL VARIANTS,VIRAL PROTEIN,"COVID-19, SPIKE GLYCOPROTEIN, VIRUS, VIRAL PROTEIN, ANTIBODY",POTENT SARS-COV-2 NEUTRALIZING ANTIBODIES WITH PROTECTIVE EFFICACY AGAINST NEWLY EMERGED MUTATIONAL VARIANTS.,,,D,E,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,09/15/21,ULTRAPOTENT SARS-COV-2 NEUTRALIZING ANTIBODIES WITH PROTECTIVE EFFICACY AGAINST NEWLY EMERGED MUTATIONAL VARIANTS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"GUO, H., LI, T., LIU, F., GAO, Y., JI, X., YANG, H.",ELECTRON MICROSCOPY,NONE
7WOC,N,,LOCALLY REFINED REGION OF SARS-COV-2 SPIKE IN COMPLEX WITH IGG 553-60,VIRAL PROTEIN,"SARS-COV-2, SPIKE, ANTIBODY, VIRAL PROTEIN",STRUCTURAL STUDY OF SARS-COV-2 ANTIBODIES IDENTIFIES A BROAD-SPECTRUM ANTIBODY THAT NEUTRALIZES THE OMICRON VARIANT BY DISASSEMBLING THE SPIKE TRIMER.,,,A,B,C,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,07/20/22,"S-MAB60 NRAB1 LOCAL-REFINED MAP"""" INTO """"LOCALLY REFINED REGION OF SARS-COV-2 SPIKE IN COMPLEX WITH IGG 553-60",HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHAN, W.Q., ZHANG, X., CHEN, Z.G., SUN, L.",ELECTRON MICROSCOPY,NONE
7ME7,N,,CRYOEM STRUCTURE OF SARS-COV-2 RBD IN COMPLEX WITH NANOBODIES NB17 AND NB105,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 RECEPTOR BINDING DOMAIN NANOBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",POTENT NEUTRALIZING NANOBODIES RESIST CONVERGENT CIRCULATING VARIANTS OF SARS-COV-2 BY TARGETING DIVERSE AND CONSERVED EPITOPES,,,B,,R,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,08/11/21,CRYOEM STRUCTURE OF SARS-COV-2 RBD IN COMPLEX WITH NANOBODIES NB17 AND NB105,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA,LAMA GLAMA,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HUANG, W., TAYLOR, D.J.",ELECTRON MICROSCOPY,NONE
7VGR,N,,SARS-COV-2 M PROTEIN DIMER (LONG FORM) IN COMPLEX WITH YN7756_1 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, M PROTEIN, VIRAL STRUCTURAL PROTEIN, VIRUS ASSEMBLY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",SARS-COV-2 M PROTEIN DIMER (LONG FORM) IN COMPLEX WITH YN7756_1 FAB,,,D,C,A,PROTEIN,MEMBRANE PROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/03/22,SARS-COV-2 M PROTEIN DIMER (LONG FORM) IN COMPLEX WITH YN7756_1 FAB,MUS MUSCULUS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHANG, Z., OHTO, U., SHIMIZU, T.",ELECTRON MICROSCOPY,NONE
7BEL,N,"SPIKE GLYCOPROTEIN, COVOX-45 HEAVY CHAIN, COVOX-88 HEAVY CHAIN, COVOX-88 LIGHT CHAIN, COVOX-45 LIGHT CHAIN",CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN A TERNARY COMPLEX WITH COVOX-88 AND COVOX-45 FABS,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,C,D,X,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/03/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN A TERNARY COMPLEX WITH COVOX-88 AND COVOX-45 FABS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., ZHAO, Y., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
7Q9F,N,,BETA-50 FAB IN COMPLEX WITH SARS-COV-2 BETA-SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV2, SPIKE, GLYCOPROTEIN, ANTIBODY, FAB, B.1.135, BETA VARIANT, COMPLEX, NEUTRALISING, CONVALESCENT SERA, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIBODY RESPONSE TO SARS-COV-2 BETA UNDERSCORES THE ANTIGENIC DISTANCE TO OTHER VARIANTS.,,,J,K,C,PROTEIN,SURFACE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,12/15/21,BETA-50 FAB IN COMPLEX WITH SARS-COV-2 BETA-SPIKE GLYCOPROTEIN,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DUYVESTEYN, H.M.E., REN, J., STUART, D.I.",ELECTRON MICROSCOPY,NONE
7EPX,N,,S PROTEIN OF SARS-COV-2 IN COMPLEX WITH GW01,VIRAL PROTEIN,"S PROTEIN, SARS-COV-2, VIRAL PROTEIN",NOVEL SARBECOVIRUS BISPECIFIC NEUTRALIZING ANTIBODIES WITH EXCEPTIONAL BREADTH AND POTENCY AGAINST CURRENTLY CIRCULATING SARS-COV-2 VARIANTS AND SARBECOVIRUSES.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,05/18/22,S PROTEIN OF SARS-COV-2 IN COMPLEX WITH GW01,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SHEN, Y.P., ZHANG, Y.Y., YAN, R.H., LI, Y.N., ZHOU, Q.",ELECTRON MICROSCOPY,NONE
7MKM,N,,SARS-COV-2 SPIKE RBD IN COMPLEX WITH NEUTRALIZING FAB SARS2-38 (LOCAL REFINEMENT),VIRAL PROTEIN/IMMUNE SYSTEM,"GLYCOPROTEIN, ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX, STRUCTURAL GENOMICS, CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES, CSGID",A POTENTLY NEUTRALIZING SARS-COV-2 ANTIBODY INHIBITS VARIANTS OF CONCERN BY UTILIZING UNIQUE BINDING RESIDUES IN A HIGHLY CONSERVED EPITOPE.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,05/12/21,SARS-COV-2 SPIKE RBD IN COMPLEX WITH NEUTRALIZING FAB SARS2-38 (LOCAL REFINEMENT),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ADAMS, L.J., FREMONT, D.H., CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES (CSGID)",ELECTRON MICROSCOPY,NONE
7F5H,N,,"THE CRYSTAL STRUCTURE OF RBD-NANOBODY COMPLEX, DL28 (SC4)",VIRAL PROTEIN,"NANOBODY, RBD, NEUTRALIZING ANTIBODY, SARS-COV-2, RECEPTOR-BINDING DOMAIN, RECEPTOR-BINDING MOTIF, RBM DISTORTION, VIRAL PROTEIN",DISCOVERY OF NANOBODIES AGAINST SARS-COV-2 AND AN UNCOMMON NEUTRALIZING MECHANISM,,,D,,B,PROTEIN,SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN (RBD),VIRAL PROTEIN,06/29/22,"THE CRYSTAL STRUCTURE OF RBD-NANOBODY COMPLEX, DL28 (SC4)",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS,VICUGNA PACOS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LUO, Z.P., LI, T., LAI, Y., ZHOU, Y., TAN, J., LI, D.",X-RAY DIFFRACTION,NONE
4HBC,,"ANTIGEN BINDING FRAGMENT, IMMUNOGLOBULIN IGG - HEAVY CHAIN, ANTIGEN BINDING FRAGMENT, IMMUNOGLOBULIN IGG - LIGHT CHAIN",CRYSTAL STRUCTURE OF A CONFORMATION-DEPENDENT RABBIT IGG FAB SPECIFIC FOR AMYLOID PREFIBRILLAR OLIGOMERS,IMMUNE SYSTEM,"FAB, RABBIT, CONFORMATION-SPECIFIC, AMYLOID, IMMUNE SYSTEM",CRYSTAL STRUCTURE OF A CONFORMATION-DEPENDENT RABBIT IGG FAB SPECIFIC FOR AMYLOID PREFIBRILLAR OLIGOMERS.,,,H,L,,,,IMMUNE SYSTEM,09/27/12,CRYSTAL STRUCTURE OF A CONFORMATION-DEPENDENT RABBIT IGG FAB SPECIFIC FOR AMYLOID PREFIBRILLAR OLIGOMERS,ORYCTOLAGUS CUNICULUS,ORYCTOLAGUS CUNICULUS,ORYCTOLAGUS CUNICULUS,,"ARAI, H.",X-RAY DIFFRACTION,NONE
